timestamp,method,source,frame_idx,latency_ms,fps_inst,cpu_pct,ram_mb,detections
2025-09-11T21:04:58.832,KeyPoints-resnet50,webcam,0,42215.127,0.024,299.1,730.67,1
2025-09-11T21:05:34.314,KeyPoints-resnet50,webcam,1,35457.829,0.028,393.9,730.64,2
2025-09-11T21:06:10.154,KeyPoints-resnet50,webcam,2,35823.371,0.028,394.5,770.16,2
2025-09-11T21:06:45.684,KeyPoints-resnet50,webcam,3,35515.39,0.028,393.7,766.84,1
2025-09-11T21:07:20.835,KeyPoints-resnet50,webcam,4,35127.754,0.028,392.9,730.71,1
2025-09-11T21:07:55.270,KeyPoints-resnet50,webcam,5,34421.919,0.029,394.6,768.5,1
2025-09-11T21:08:32.019,KeyPoints-resnet50,webcam,6,36732.875,0.027,394.4,768.17,2
2025-09-11T21:09:09.277,KeyPoints-resnet50,webcam,7,37235.898,0.027,394.1,769.26,2
2025-09-11T21:09:46.121,KeyPoints-resnet50,webcam,8,36829.988,0.027,394.7,780.59,1
2025-09-11T21:10:20.630,KeyPoints-resnet50,webcam,9,34493.85,0.029,393.3,769.99,1
2025-09-11T21:10:54.944,KeyPoints-resnet50,webcam,10,34297.072,0.029,393.3,726.96,1
2025-09-11T21:11:29.696,KeyPoints-resnet50,webcam,11,34736.828,0.029,393.1,726.17,1
2025-09-11T21:12:05.694,KeyPoints-resnet50,webcam,12,35982.762,0.028,394.0,730.16,2
2025-09-11T21:12:41.771,KeyPoints-resnet50,webcam,13,36062.259,0.028,393.1,770.63,2
2025-09-11T21:13:17.002,KeyPoints-resnet50,webcam,14,35217.207,0.028,394.2,784.64,1
2025-09-11T21:13:52.514,KeyPoints-resnet50,webcam,15,35498.926,0.028,392.2,788.38,1
2025-09-11T21:14:28.385,KeyPoints-resnet50,webcam,16,35856.968,0.028,393.4,765.85,1
2025-09-11T21:15:03.960,KeyPoints-resnet50,webcam,17,35559.862,0.028,393.4,769.91,2
2025-09-11T21:15:40.090,KeyPoints-resnet50,webcam,18,36113.408,0.028,394.1,767.4,2
2025-09-11T21:16:16.319,KeyPoints-resnet50,webcam,19,36207.587,0.028,394.1,766.36,2
2025-09-11T21:16:50.866,KeyPoints-resnet50,webcam,20,34535.07,0.029,394.1,782.76,2
2025-09-11T21:17:26.508,KeyPoints-resnet50,webcam,21,35624.148,0.028,393.3,769.08,1
2025-09-11T21:18:02.441,KeyPoints-resnet50,webcam,22,35919.77,0.028,391.8,772.0,1
2025-09-11T21:18:37.570,KeyPoints-resnet50,webcam,23,35110.311,0.028,394.6,771.97,2
2025-09-11T21:19:12.221,KeyPoints-resnet50,webcam,24,34634.064,0.029,393.8,770.02,1
2025-09-11T21:19:48.046,KeyPoints-resnet50,webcam,25,35806.304,0.028,393.6,768.91,1
